Frame,Ocupacion_Actual,Flujo_Acumulado,Densidad,LOS,Inst_Coches,Inst_Motos,Inst_Bicis,Acum_Coches,Acum_Motos,Acum_Bicis,Acum_Buses,Acum_Camiones,Incidentes_Total,Incidentes_Frame
0,1,0,92.00635211899109,F,0,1,0,0,0,0,0,0,1,0
1,1,0,92.00635211899109,F,0,1,0,0,0,0,0,0,1,0
2,0,0,0.0,A,0,0,0,0,0,0,0,0,1,0
3,1,0,92.00635211899109,F,0,1,0,0,0,0,0,0,1,0
4,0,0,0.0,A,0,0,0,0,0,0,0,0,1,0
5,1,0,92.00635211899109,F,0,1,0,0,0,0,0,0,1,0
6,0,0,0.0,A,0,0,0,0,0,0,0,0,1,0
7,1,0,92.00635211899109,F,0,1,0,0,0,0,0,0,1,0
8,0,0,0.0,A,0,0,0,0,0,0,0,0,1,0
9,1,0,92.00635211899109,F,0,1,0,0,0,0,0,0,1,0
10,0,0,0.0,A,0,0,0,0,0,0,0,0,1,0
11,1,0,92.00635211899109,F,0,1,0,0,0,0,0,0,1,0
12,0,0,0.0,A,0,0,0,0,0,0,0,0,1,0
13,1,0,92.00635211899109,F,0,1,0,0,0,0,0,0,1,0
14,0,0,0.0,A,0,0,0,0,0,0,0,0,1,0
15,1,0,92.00635211899109,F,0,1,0,0,0,0,0,0,1,0
16,0,0,0.0,A,0,0,0,0,0,0,0,0,1,0
17,1,0,92.00635211899109,F,0,1,0,0,0,0,0,0,1,0
18,0,0,0.0,A,0,0,0,0,0,0,0,0,1,0
19,1,0,92.00635211899109,F,0,1,0,0,0,0,0,0,1,0
20,0,0,0.0,A,0,0,0,0,0,0,0,0,1,0
21,1,0,92.00635211899109,F,0,1,0,0,0,0,0,0,1,0
22,0,0,0.0,A,0,0,0,0,0,0,0,0,1,0
23,1,0,92.00635211899109,F,0,1,0,0,0,0,0,0,1,0
24,0,0,0.0,A,0,0,0,0,0,0,0,0,1,0
25,1,0,92.00635211899109,F,0,1,0,0,0,0,0,0,1,0
26,0,0,0.0,A,0,0,0,0,0,0,0,0,1,0
27,1,0,92.00635211899109,F,0,1,0,0,0,0,0,0,1,0
28,0,0,0.0,A,0,0,0,0,0,0,0,0,1,0
29,1,0,92.00635211899109,F,0,1,0,0,0,0,0,0,1,0
30,0,0,0.0,A,0,0,0,0,0,0,0,0,1,0
31,1,0,92.00635211899109,F,0,1,0,0,0,0,0,0,1,0
32,0,0,0.0,A,0,0,0,0,0,0,0,0,1,0
33,0,0,0.0,A,0,0,0,0,0,0,0,0,1,0
34,0,0,0.0,A,0,0,0,0,0,0,0,0,1,0
35,0,0,0.0,A,0,0,0,0,0,0,0,0,1,0
36,0,0,0.0,A,0,0,0,0,0,0,0,0,1,0
37,0,0,0.0,A,0,0,0,0,0,0,0,0,1,0
38,0,0,0.0,A,0,0,0,0,0,0,0,0,1,0
