Frame,Total,Turismos,Motos,Buses,Camiones,Bicis,Densidad,LOS
0,3,3,0,0,0,0,168.96714494455128,F (Congestion)
1,1,1,0,0,0,0,56.32238164818376,F (Congestion)
2,0,0,0,0,0,0,0.0,A (Libre)
3,0,0,0,0,0,0,0.0,A (Libre)
4,1,1,0,0,0,0,56.32238164818376,F (Congestion)
5,0,0,0,0,0,0,0.0,A (Libre)
6,0,0,0,0,0,0,0.0,A (Libre)
7,0,0,0,0,0,0,0.0,A (Libre)
8,1,1,0,0,0,0,56.32238164818376,F (Congestion)
9,0,0,0,0,0,0,0.0,A (Libre)
10,0,0,0,0,0,0,0.0,A (Libre)
11,0,0,0,0,0,0,0.0,A (Libre)
12,0,0,0,0,0,0,0.0,A (Libre)
13,0,0,0,0,0,0,0.0,A (Libre)
14,0,0,0,0,0,0,0.0,A (Libre)
15,0,0,0,0,0,0,0.0,A (Libre)
16,0,0,0,0,0,0,0.0,A (Libre)
17,0,0,0,0,0,0,0.0,A (Libre)
18,0,0,0,0,0,0,0.0,A (Libre)
19,0,0,0,0,0,0,0.0,A (Libre)
20,0,0,0,0,0,0,0.0,A (Libre)
21,0,0,0,0,0,0,0.0,A (Libre)
22,0,0,0,0,0,0,0.0,A (Libre)
23,0,0,0,0,0,0,0.0,A (Libre)
24,0,0,0,0,0,0,0.0,A (Libre)
25,0,0,0,0,0,0,0.0,A (Libre)
26,0,0,0,0,0,0,0.0,A (Libre)
27,0,0,0,0,0,0,0.0,A (Libre)
28,0,0,0,0,0,0,0.0,A (Libre)
29,0,0,0,0,0,0,0.0,A (Libre)
30,0,0,0,0,0,0,0.0,A (Libre)
31,0,0,0,0,0,0,0.0,A (Libre)
32,0,0,0,0,0,0,0.0,A (Libre)
33,0,0,0,0,0,0,0.0,A (Libre)
34,0,0,0,0,0,0,0.0,A (Libre)
35,0,0,0,0,0,0,0.0,A (Libre)
36,0,0,0,0,0,0,0.0,A (Libre)
37,0,0,0,0,0,0,0.0,A (Libre)
38,0,0,0,0,0,0,0.0,A (Libre)
39,0,0,0,0,0,0,0.0,A (Libre)
40,0,0,0,0,0,0,0.0,A (Libre)
41,0,0,0,0,0,0,0.0,A (Libre)
42,0,0,0,0,0,0,0.0,A (Libre)
43,0,0,0,0,0,0,0.0,A (Libre)
44,0,0,0,0,0,0,0.0,A (Libre)
45,0,0,0,0,0,0,0.0,A (Libre)
46,0,0,0,0,0,0,0.0,A (Libre)
47,0,0,0,0,0,0,0.0,A (Libre)
48,0,0,0,0,0,0,0.0,A (Libre)
49,0,0,0,0,0,0,0.0,A (Libre)
50,0,0,0,0,0,0,0.0,A (Libre)
51,0,0,0,0,0,0,0.0,A (Libre)
52,0,0,0,0,0,0,0.0,A (Libre)
53,0,0,0,0,0,0,0.0,A (Libre)
54,0,0,0,0,0,0,0.0,A (Libre)
55,0,0,0,0,0,0,0.0,A (Libre)
56,0,0,0,0,0,0,0.0,A (Libre)
57,0,0,0,0,0,0,0.0,A (Libre)
58,0,0,0,0,0,0,0.0,A (Libre)
59,0,0,0,0,0,0,0.0,A (Libre)
60,0,0,0,0,0,0,0.0,A (Libre)
61,0,0,0,0,0,0,0.0,A (Libre)
62,0,0,0,0,0,0,0.0,A (Libre)
63,0,0,0,0,0,0,0.0,A (Libre)
64,0,0,0,0,0,0,0.0,A (Libre)
65,0,0,0,0,0,0,0.0,A (Libre)
66,0,0,0,0,0,0,0.0,A (Libre)
67,0,0,0,0,0,0,0.0,A (Libre)
68,0,0,0,0,0,0,0.0,A (Libre)
69,0,0,0,0,0,0,0.0,A (Libre)
70,0,0,0,0,0,0,0.0,A (Libre)
71,0,0,0,0,0,0,0.0,A (Libre)
72,0,0,0,0,0,0,0.0,A (Libre)
73,0,0,0,0,0,0,0.0,A (Libre)
74,0,0,0,0,0,0,0.0,A (Libre)
