Frame,Total_Veh,Turismos,Motos,Buses,Camiones,Densidad_k,LOS,Riesgos
0,4,4,0,0,0,152.27903186360794,F (Colapso),
1,3,3,0,0,0,114.20927389770596,F (Colapso),
2,2,2,0,0,0,76.13951593180397,E (Capacidad),
3,3,3,0,0,0,114.20927389770596,F (Colapso),
4,3,3,0,0,0,114.20927389770596,F (Colapso),
5,3,3,0,0,0,114.20927389770596,F (Colapso),
6,5,5,0,0,0,190.3487898295099,F (Colapso),
7,5,5,0,0,0,190.3487898295099,F (Colapso),
8,5,5,0,0,0,190.3487898295099,F (Colapso),
9,4,4,0,0,0,152.27903186360794,F (Colapso),
10,3,3,0,0,0,114.20927389770596,F (Colapso),
11,4,4,0,0,0,152.27903186360794,F (Colapso),
12,5,5,0,0,0,190.3487898295099,F (Colapso),
13,4,4,0,0,0,152.27903186360794,F (Colapso),
14,5,4,0,0,1,190.3487898295099,F (Colapso),
15,5,4,0,0,1,190.3487898295099,F (Colapso),
16,5,4,0,0,1,190.3487898295099,F (Colapso),
17,3,2,0,0,1,114.20927389770596,F (Colapso),
18,4,3,0,0,1,152.27903186360794,F (Colapso),
19,4,3,0,0,1,152.27903186360794,F (Colapso),
20,3,2,0,0,1,114.20927389770596,F (Colapso),
21,3,2,0,0,1,114.20927389770596,F (Colapso),
22,4,3,0,0,1,152.27903186360794,F (Colapso),
23,4,3,0,0,1,152.27903186360794,F (Colapso),
24,4,3,0,0,1,152.27903186360794,F (Colapso),
25,2,2,0,0,0,76.13951593180397,E (Capacidad),
26,2,2,0,0,0,76.13951593180397,E (Capacidad),
27,2,2,0,0,0,76.13951593180397,E (Capacidad),
28,4,2,0,0,2,152.27903186360794,F (Colapso),
29,3,2,0,0,1,114.20927389770596,F (Colapso),
30,2,2,0,0,0,76.13951593180397,E (Capacidad),
31,2,2,0,0,0,76.13951593180397,E (Capacidad),
32,2,2,0,0,0,76.13951593180397,E (Capacidad),
33,2,2,0,0,0,76.13951593180397,E (Capacidad),
34,2,2,0,0,0,76.13951593180397,E (Capacidad),
35,2,2,0,0,0,76.13951593180397,E (Capacidad),
36,2,2,0,0,0,76.13951593180397,E (Capacidad),
37,3,3,0,0,0,114.20927389770596,F (Colapso),
38,4,4,0,0,0,152.27903186360794,F (Colapso),
39,4,4,0,0,0,152.27903186360794,F (Colapso),
40,4,4,0,0,0,152.27903186360794,F (Colapso),
41,4,4,0,0,0,152.27903186360794,F (Colapso),
42,4,4,0,0,0,152.27903186360794,F (Colapso),⚠️ STOP ID:2
43,3,3,0,0,0,114.20927389770596,F (Colapso),
44,5,4,0,0,1,190.3487898295099,F (Colapso),
45,3,2,0,0,1,114.20927389770596,F (Colapso),
46,3,2,0,0,1,114.20927389770596,F (Colapso),
47,2,2,0,0,0,76.13951593180397,E (Capacidad),
48,4,3,0,0,1,152.27903186360794,F (Colapso),
49,4,3,0,0,1,152.27903186360794,F (Colapso),
50,5,4,0,0,1,190.3487898295099,F (Colapso),
51,4,3,0,0,1,152.27903186360794,F (Colapso),
52,3,3,0,0,0,114.20927389770596,F (Colapso),
53,4,3,0,0,1,152.27903186360794,F (Colapso),
54,4,4,0,0,0,152.27903186360794,F (Colapso),
55,4,4,0,0,0,152.27903186360794,F (Colapso),
56,3,3,0,0,0,114.20927389770596,F (Colapso),
57,4,4,0,0,0,152.27903186360794,F (Colapso),"⚠️ STOP ID:49, ⚠️ STOP ID:2"
58,5,5,0,0,0,190.3487898295099,F (Colapso),"⚠️ STOP ID:49, ⚠️ STOP ID:2"
59,5,4,0,0,1,190.3487898295099,F (Colapso),⚠️ STOP ID:2
60,7,5,0,0,2,266.4883057613139,F (Colapso),
61,7,5,0,0,2,266.4883057613139,F (Colapso),
62,6,4,0,0,2,228.4185477954119,F (Colapso),
63,7,5,0,0,2,266.4883057613139,F (Colapso),
64,7,5,0,0,2,266.4883057613139,F (Colapso),
65,8,7,0,0,1,304.5580637272159,F (Colapso),
66,7,5,0,0,2,266.4883057613139,F (Colapso),
67,6,5,0,0,1,228.4185477954119,F (Colapso),
68,5,3,0,0,2,190.3487898295099,F (Colapso),
69,6,5,0,0,1,228.4185477954119,F (Colapso),
70,3,3,0,0,0,114.20927389770596,F (Colapso),
71,7,6,0,0,1,266.4883057613139,F (Colapso),
72,5,4,0,0,1,190.3487898295099,F (Colapso),
73,6,4,0,0,2,228.4185477954119,F (Colapso),
74,5,4,0,0,1,190.3487898295099,F (Colapso),
75,5,4,0,0,1,190.3487898295099,F (Colapso),⚠️ STOP ID:49
76,4,3,0,0,1,152.27903186360794,F (Colapso),⚠️ STOP ID:49
77,3,3,0,0,0,114.20927389770596,F (Colapso),⚠️ STOP ID:49
78,2,2,0,0,0,76.13951593180397,E (Capacidad),
79,2,2,0,0,0,76.13951593180397,E (Capacidad),⚠️ STOP ID:2
80,4,4,0,0,0,152.27903186360794,F (Colapso),"⚠️ STOP ID:49, ⚠️ STOP ID:2"
81,4,4,0,0,0,152.27903186360794,F (Colapso),"⚠️ STOP ID:49, ⚠️ STOP ID:2"
